Flat profile: (luke: total time 47.6 seconds)

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.63     0.00   344600     0.00     0.00  MjClass::monitor_sensors()
  0.00      0.63     0.00   338336     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.63     0.00   267112     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      0.63     0.00   249294     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      0.63     0.00   230208     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      0.63     0.00   230108     0.00     0.00  luke::Gripper::step_to(double, double, double)
  0.00      0.63     0.00   227543     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      0.63     0.00   227436     0.00     0.00  arma::Col<double>::~Col()
  0.00      0.63     0.00   215375     0.00     0.00  luke::myNum::init(double*, int, int)
  0.00      0.63     0.00   194883     0.00     0.00  luke::swap(luke::myNum&, luke::myNum&)
  0.00      0.63     0.00   194883     0.00     0.00  luke::myNum::operator=(luke::myNum)
  0.00      0.63     0.00   194883     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<double*> >, std::is_move_constructible<double*>, std::is_move_assignable<double*> >::value, void>::type std::swap<double*>(double*&, double*&)
  0.00      0.63     0.00   165408     0.00     0.00  arma::Col<double>::Col(double*, unsigned long long, bool, bool)
  0.00      0.63     0.00   165408     0.00     0.00  arma::Mat<double>::Mat(double*, unsigned long long, unsigned long long, bool, bool)
  0.00      0.63     0.00   133803     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      0.63     0.00   133803     0.00     0.00  std::allocator<float>::~allocator()
  0.00      0.63     0.00   127159     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      0.63     0.00   124056     0.00     0.00  arma::Proxy<arma::Col<double> >::Proxy(arma::Col<double> const&)
  0.00      0.63     0.00   122118     0.00     0.00  std::move_iterator<float*>::base() const
  0.00      0.63     0.00   122118     0.00     0.00  std::move_iterator<float*>::move_iterator(float*)
  0.00      0.63     0.00   122118     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<float*>(std::move_iterator<float*>)
  0.00      0.63     0.00   122118     0.00     0.00  float* std::__miter_base<float*>(float*)
  0.00      0.63     0.00   114863     0.00     0.00  luke::Gripper::step_to(luke::Gripper, int)
  0.00      0.63     0.00   110272     0.00     0.00  luke::SlidingWindow<float>::add(float)
  0.00      0.63     0.00    97822     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      0.63     0.00    97822     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      0.63     0.00    97822     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      0.63     0.00    97664     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.63     0.00    97408     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      0.63     0.00    95920     0.00     0.00  float* std::__niter_base<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.00      0.63     0.00    90726     0.00     0.00  std::move_iterator<float*> std::__make_move_if_noexcept_iterator<float, std::move_iterator<float*> >(float*)
  0.00      0.63     0.00    90394     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00      0.63     0.00    90394     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00      0.63     0.00    87200     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00      0.63     0.00    87150     0.00     0.00  luke::Gripper::step_y(int)
  0.00      0.63     0.00    87150     0.00     0.00  luke::Gripper::set_y_m(double)
  0.00      0.63     0.00    82704     0.00     0.00  void arma::arma_check<char [53]>(bool, char const (&) [53])
  0.00      0.63     0.00    82704     0.00     0.00  void arma::arma_check<char const*>(bool, char const* const&)
  0.00      0.63     0.00    82704     0.00     0.00  void arma::arma_check_bad_alloc<char [39]>(bool, char const (&) [39])
  0.00      0.63     0.00    82704     0.00     0.00  arma::Mat<double>::init_cold()
  0.00      0.63     0.00    82704     0.00     0.00  double* arma::memory::acquire<double>(unsigned long long)
  0.00      0.63     0.00    82704     0.00     0.00  void arma::arrayops::inplace_set<double>(double*, double, unsigned long long)
  0.00      0.63     0.00    82704     0.00     0.00  std::numeric_limits<unsigned long>::max()
  0.00      0.63     0.00    82704     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  0.00      0.63     0.00    81777     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      0.63     0.00    81777     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00      0.63     0.00    81777     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      0.63     0.00    81777     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00      0.63     0.00    81777     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00      0.63     0.00    80224     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::__miter_base<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.00      0.63     0.00    74866     0.00     0.00  float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      0.63     0.00    74717     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00      0.63     0.00    74717     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      0.63     0.00    74717     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      0.63     0.00    73248     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator(float const* const&)
  0.00      0.63     0.00    69798     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      0.63     0.00    68920     0.00     0.00  MjType::Sensor::apply_normalisation(float)
  0.00      0.63     0.00    64528     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.63     0.00    62028     0.00     0.00  void arma::arma_check<char [74]>(bool, char const (&) [74])
  0.00      0.63     0.00    62028     0.00     0.00  void arma::arma_check<char*>(bool, char* const&)
  0.00      0.63     0.00    62028     0.00     0.00  void arma::eglue_core<arma::eglue_schur>::apply<arma::Mat<double>, arma::Col<double>, arma::Col<double> >(arma::Mat<double>&, arma::eGlue<arma::Col<double>, arma::Col<double>, arma::eglue_schur> const&)
  0.00      0.63     0.00    62028     0.00     0.00  arma::eglue_schur::text()
  0.00      0.63     0.00    62028     0.00     0.00  arma::Col<double>& arma::Col<double>::operator=<arma::eGlue<arma::Col<double>, arma::Col<double>, arma::eglue_schur> >(arma::Base<double, arma::eGlue<arma::Col<double>, arma::Col<double>, arma::eglue_schur> > const&)
  0.00      0.63     0.00    62028     0.00     0.00  arma::Mat<double> const& arma::Mat<double>::fill<arma::fill::fill_zeros>(arma::fill::fill_class<arma::fill::fill_zeros> const&)
  0.00      0.63     0.00    62028     0.00     0.00  arma::Mat<double>::zeros()
